2024 BITUMINOUS RESURFACING PROJECT (#9145602)
"Owner: Crystal MN, City of"
"Solicitor: Crystal MN, City of"
06/17/2024 10:00 AM CDT

,,,,,,Engineer Estimate,,GMH Asphalt Corporation,,"North Valley, Inc.",,"C. S. McCrossan Construction, Inc.",,Bituminous Roadways Inc.,
,30,"=""2104.504""",Remove Concrete Pavement,SY,375.000000000000,,,$10.99,"$4,121.25",$10.86,"$4,072.50",$6.60,"$2,475.00",$11.00,"$4,125.00"
,31,"=""2104.504""",Remove Concrete Driveway Pavement,SY,100.000000000000,,,$10.99,"$1,099.00",$10.86,"$1,086.00",$12.00,"$1,200.00",$18.00,"$1,800.00"
,32,"=""2105.607""",Common Excavation (EV) (P) ,CY,90.000000000000,,,$38.00,"$3,420.00",$71.74,"$6,456.60",$52.30,"$4,707.00",$48.00,"$4,320.00"
,33,"=""2123.61""",Street Sweeper (With Pickup Broom) ,HR,10.000000000000,,,$175.00,"$1,750.00",$92.27,$922.70,$202.00,"$2,020.00",$100.00,"$1,000.00"
,34,"=""2215.504""",Full Depth Reclamation,SY,7000.000000000000,,,$9.25,"$64,750.00",$7.19,"$50,330.00",$5.50,"$38,500.00",$5.50,"$38,500.00"
,35,"=""2360.509""","Type SP 12.5 Wearing Course Mixture (2,C) ",TON,1050.000000000000,,,$73.70,"$77,385.00",$97.52,"$102,396.00",$91.00,"$95,550.00",$90.00,"$94,500.00"
,36,"=""2360.509""","Type SP 12.5 Non Wearing Course Mixture (2,B) ",TON,1050.000000000000,,,$63.75,"$66,937.50",$82.24,"$86,352.00",$72.00,"$75,600.00",$78.00,"$81,900.00"
,37,"=""2506.502""",Adjust Frame and Ring Casting (Catch Basin),EA,5.000000000000,,,$750.00,"$3,750.00",$949.85,"$4,749.25","$2,000.00","$10,000.00","$1,700.00","$8,500.00"
,38,"=""2531.504""","8"" Concrete Pavement",SY,375.000000000000,,,$87.60,"$32,850.00",$67.30,"$25,237.50",$102.00,"$38,250.00",$90.00,"$33,750.00"
,39,"=""2531.504""","8"" Concrete Driveway Pavement",SY,100.000000000000,,,$90.75,"$9,075.00",$67.30,"$6,730.00",$105.00,"$10,500.00",$93.00,"$9,300.00"
,40,"=""2563.601""",Traffic Control ,LS,1.000000000000,,,"$1,500.00","$1,500.00",$542.77,$542.77,$547.00,$547.00,"$1,000.00","$1,000.00"
,41,"=""2573.502""",Strom Drain Inlet Protection ,EA,5.000000000000,,,$150.00,$750.00,$244.25,"$1,221.25",$188.00,$940.00,$0.01,$0.05
Base Bid Total:,,,,,,,$0.00,,"$715,937.75",,"$864,669.99",,"$917,523.50",,"$930,250.22"
